"variable","lo95","q10.val","hi95","lo.se","hi.se"
"scrape",2.21038199016783,1.62421299641262,1.03527581068809,12.0044852929458,5.59610871244985
"srms",0.82773763826346,0.894548281125255,0.97173492517183,0.0340870626845893,0.0393809408400894
"thump",1.96500401170169,1.5958655540898,1.21510503748758,16.6504708909831,9.9819246249954
"trms",0.7664448595341,0.859878746658343,0.96705391247427,0.0476703505735933,0.054681207048942
"buzz",2.08603653050276,1.78087070151673,1.54535430962834,23.8602213411208,22.9031590335184
"brms",0.615621160094798,0.747993758665436,0.910981115822331,0.0675370400870603,0.0831568148759667
"srates",1.06985153729885,1.62080256766933,2.17194387327388,0.281097464474738,0.28119454367579
"sfreq",1.18856673042509,1.59025143381263,2.13593030510501,0.204941175197722,0.278407587394071
"tfreq",1.04142158018599,1.45266086493933,2.16207947015823,0.209815961608847,0.361948267968824
"bfreq",1.01619067477277,1.44108981362918,2.04460673335324,0.216785274926738,0.307916795777585
